Scheme_Name,Alpha,Beta
Scheme_1,0.25578781449671883,0.02495785890705924
Scheme_2,0.22309225194756505,0.0036663280769457323
Scheme_3,0.11232882386789039,-0.02219973981182723
Scheme_4,0.04909055068378949,0.0018667855139204183
Scheme_5,0.012419040617588832,-0.009040885581357076
Scheme_6,0.09982177397846557,0.006376824173961517
Scheme_7,0.26123600485360965,0.0128770354107234
Scheme_8,0.080963616422511,0.03817539940188439
Scheme_9,0.06986326646446965,0.03734249662027439
Scheme_10,0.12625532568975537,-0.008368393867792513
Scheme_11,0.2894679626142551,0.044002341818917504
Scheme_12,0.15444961359917717,-0.059335477010408595
Scheme_13,0.2421655996241859,0.017429753652500532
Scheme_14,0.23726011462231184,0.008336472701654421
Scheme_15,0.1560376361387558,-0.023578432458914847
Scheme_16,0.0798195210958605,0.014761850203700466
Scheme_17,0.21817612073787007,-0.015987656606743554
Scheme_18,0.07303954635569104,0.02267824788412375
Scheme_19,0.022625799932190542,-0.01122744977843305
Scheme_20,0.23887181370139982,-0.011930813204288291
Scheme_21,0.09098872743022769,0.03261118052816319
Scheme_22,0.10430736641142785,0.002624827311688901
Scheme_23,0.03811924792246615,-0.00144506443068011
Scheme_24,0.24875201798413876,0.03554240542297553
Scheme_25,-0.05696890213184159,0.027547791234010275
Scheme_26,0.2549078499237535,0.015083829082250899
Scheme_27,-0.033181913099430846,-0.026014753415854772
Scheme_28,0.123645165249653,0.029181483187054092
Scheme_29,0.051447425288382795,0.017883756223906058
Scheme_30,0.13730681730152478,-0.026954885397241782
Scheme_31,0.2812759136772551,-0.020071459540679033
Scheme_32,0.22837464799190252,0.031051542784146076
Scheme_33,0.1894811416313648,-0.04587019504708016
Scheme_34,0.19744305894966666,0.008318513165635427
Scheme_35,0.16173505807360827,0.028457024308107506
Scheme_36,0.11122738080689913,-0.015162492361545384
Scheme_37,0.032254532870910235,0.058604834834596414
Scheme_38,0.22231157739877191,0.011220334224678408
Scheme_39,0.12062519618353013,0.01937965168794992
Scheme_40,0.15598869405321972,-0.010106904792504813
