Scheme_Name,CAGR_1Yr,CAGR_3Yr,CAGR_5Yr,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Max_Drawdown,DD_Start_Date,DD_End_Date,Expense_Ratio,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_mdd,Scorecard_Score
Scheme_7,0.48815645771370453,0.29922896033768076,0.2651375420326534,1.026875383476768,1.7428560654563605,0.26123600485360965,0.0128770354107234,-0.2302581718854152,2022-02-21,2022-08-12,0.007514047615690891,84.61538461538461,92.3076923076923,94.87179487179486,87.17948717948718,64.1025641025641,86.92307692307692
Scheme_1,0.3465851740922443,0.44209258940345975,0.3129958641932733,1.0338368240771338,1.8369971581172184,0.25578781449671883,0.02495785890705924,-0.21812532926145034,2023-01-20,2023-08-07,0.01500908013415159,100.0,94.87179487179486,92.3076923076923,43.58974358974359,74.35897435897436,86.15384615384615
Scheme_11,0.31836277728759965,0.3075103868716358,0.27675877044336405,1.1857689273843872,2.0567829702357847,0.2894679626142551,0.044002341818917504,-0.1691808996183558,2023-05-05,2023-06-15,0.022216841985264132,87.17948717948718,100.0,100.0,5.128205128205128,92.3076923076923,81.15384615384616
Scheme_31,0.07368491992061399,0.36203917598743574,0.29730385896920386,1.1193226106653353,1.8458774377044023,0.2812759136772551,-0.020071459540679033,-0.20713166772862057,2025-06-24,2026-03-17,0.02190063200448114,92.3076923076923,97.43589743589743,97.43589743589743,10.256410256410255,79.48717948717949,81.02564102564102
Scheme_26,0.03291251494944536,0.24059163345911405,0.240461180797239,0.968397225725006,1.7079404312093178,0.2549078499237535,0.015083829082250899,-0.15666989035421786,2024-12-31,2025-02-05,0.01602458559454364,79.48717948717949,87.17948717948718,89.74358974358975,35.8974358974359,97.43589743589743,78.71794871794873
Scheme_20,0.5571613309331767,0.3819732712835653,0.2654391524830444,0.912962905704208,1.6227899413114748,0.23887181370139982,-0.011930813204288291,-0.2262698232975484,2022-09-29,2023-01-17,0.016074209252621013,97.43589743589743,82.05128205128204,82.05128205128204,33.33333333333333,69.23076923076923,78.07692307692307
Scheme_24,0.3510704806155567,0.2390414166498358,0.28657234101915363,0.9785344556817409,1.6591129681859282,0.24875201798413876,0.03554240542297553,-0.16245866873518078,2024-11-26,2025-04-17,0.01963933818542498,76.92307692307693,89.74358974358975,87.17948717948718,23.076923076923077,94.87179487179486,75.89743589743591
Scheme_38,0.4228188297267119,0.3425609483649539,0.23142379399502255,0.812916328960495,1.3821716404252455,0.22231157739877191,0.011220334224678408,-0.2612845723695242,2021-08-03,2022-05-17,0.014986811283082588,89.74358974358975,71.7948717948718,71.7948717948718,46.15384615384615,43.58974358974359,70.51282051282053
Scheme_13,0.3046416985837077,0.22282348124413942,0.26306128874247325,0.9440203180685642,1.7242930805819605,0.2421655996241859,0.017429753652500532,-0.1840443899500066,2023-09-28,2024-03-19,0.022135381292513818,71.7948717948718,84.61538461538461,84.61538461538461,7.6923076923076925,87.17948717948718,69.48717948717949
Scheme_17,-0.045740088640263465,0.1945853419676351,0.24048480978095266,0.8071694006716912,1.425530590192339,0.21817612073787007,-0.015987656606743554,-0.13660874719779992,2022-08-23,2022-11-21,0.013126163213276108,64.1025641025641,69.23076923076923,69.23076923076923,58.97435897435898,100.0,69.23076923076923
Scheme_2,0.0788537316635638,0.1502240823712495,0.23837586652611265,0.8423772132814668,1.4336154845962572,0.22309225194756505,0.0036663280769457323,-0.16959921462627736,2023-03-15,2023-06-27,0.008944332179214313,48.717948717948715,74.35897435897436,74.35897435897436,74.35897435897436,89.74358974358975,68.2051282051282
Scheme_14,0.27428404936968853,0.23529812692133434,0.2524894040386838,0.9093455551947045,1.5166250096423237,0.23726011462231184,0.008336472701654421,-0.25153126454228214,2024-06-07,2025-01-20,0.017177098768706534,74.35897435897436,79.48717948717949,79.48717948717949,28.205128205128204,53.84615384615385,67.6923076923077
Scheme_33,0.021217183744322687,0.16827477205053243,0.14991533099623755,0.5969531716610477,1.007732480347357,0.1894811416313648,-0.04587019504708016,-0.20028155563955663,2024-06-11,2024-07-15,0.008019850478957185,56.41025641025641,64.1025641025641,64.1025641025641,82.05128205128204,82.05128205128204,66.28205128205128
Scheme_32,0.37106384724921426,0.2004532672042625,0.2000241780064711,0.8812162112684526,1.5739092302916806,0.22837464799190252,0.031051542784146076,-0.19619179761006222,2022-04-20,2022-09-08,0.02097934539741136,66.66666666666666,76.92307692307693,76.92307692307693,12.82051282051282,84.61538461538461,65.0
Scheme_34,0.0019428393302263203,0.15992516256613776,0.19555699607331745,0.7244986746430788,1.1672425664060972,0.19744305894966666,0.008318513165635427,-0.21193563708298957,2023-06-27,2024-08-27,0.014254837874910595,53.84615384615385,66.66666666666666,66.66666666666666,53.84615384615385,76.92307692307693,61.92307692307692
Scheme_40,0.2082843854572467,0.15593456404425665,0.11663265841173298,0.4725825374580211,0.8244466005413782,0.15598869405321972,-0.010106904792504813,-0.2353870329482014,2024-04-17,2024-10-24,0.007433762454169339,51.28205128205128,58.97435897435898,56.41025641025641,89.74358974358975,61.53846153846154,61.02564102564102
Scheme_28,0.2730793299139358,0.21927568935550323,0.11861297203157384,0.3366660952803688,0.5854556761990846,0.123645165249653,0.029181483187054092,-0.2810386628229906,2021-08-04,2022-03-28,0.0051536924594835455,69.23076923076923,48.717948717948715,46.15384615384615,100.0,35.8974358974359,60.76923076923077
Scheme_30,0.06674225085548002,0.36861618812565666,0.12223043334425565,0.35992123760345557,0.6309741083554059,0.13730681730152478,-0.026954885397241782,-0.40100198482017535,2021-06-09,2022-06-15,0.014440757355067491,94.87179487179486,51.28205128205128,51.28205128205128,48.717948717948715,12.82051282051282,60.128205128205124
Scheme_39,0.14059864430828117,0.13421022492367984,0.11678657411344506,0.31586256618607134,0.5119479903995292,0.12062519618353013,0.01937965168794992,-0.2585249526551594,2021-09-09,2022-07-29,0.007831492788666272,46.15384615384615,43.58974358974359,43.58974358974359,84.61538461538461,48.717948717948715,51.025641025641036
Scheme_35,-0.0020255862308093953,0.10463460731995,0.11312914177977018,0.5470379939479781,0.9123529567911904,0.16173505807360827,0.028457024308107506,-0.2691562645331751,2025-08-04,2026-04-06,0.011092734183474538,30.76923076923077,61.53846153846154,61.53846153846154,66.66666666666666,38.46153846153847,50.76923076923077
Scheme_18,0.6610031745805032,0.2667729805653245,0.06357363899945123,0.06067777742166452,0.10445118252660324,0.07303954635569104,0.02267824788412375,-0.45515731305767326,2021-07-28,2022-08-12,0.0062468863838176895,82.05128205128204,23.076923076923077,23.076923076923077,97.43589743589743,5.128205128205128,50.128205128205124
Scheme_10,0.021446127172105145,0.09669494265001877,0.1316984138581594,0.31789894668327967,0.5342661470893797,0.12625532568975537,-0.008368393867792513,-0.22564373025955997,2023-08-16,2024-08-15,0.008179551480936041,28.205128205128204,46.15384615384615,48.717948717948715,79.48717948717949,71.7948717948718,48.846153846153854
Scheme_15,0.10464870984516894,0.12009999996866849,0.14705409742314468,0.45761412496249004,0.8165818675136556,0.1560376361387558,-0.023578432458914847,-0.2579113868276418,2023-09-26,2024-01-26,0.01692710796953416,41.02564102564102,56.41025641025641,58.97435897435898,30.76923076923077,51.28205128205128,47.94871794871794
